,0
2450,negative
2451,negative
2452,negative
2453,negative
2454,negative
2455,negative
2456,negative
2457,negative
2458,negative
2459,negative
2460,negative
2461,negative
2462,negative
2463,neutral
2464,negative
2465,negative
2466,negative
2467,negative
2468,negative
2469,negative
2470,negative
2471,negative
2472,negative
2473,negative
2474,neutral
2475,negative
2476,neutral
2477,negative
2478,neutral
2479,negative
2480,negative
2481,negative
2482,neutral
2483,negative
2484,positive
2485,negative
2486,neutral
2487,neutral
2488,negative
2489,negative
2490,negative
2491,negative
2492,positive
2493,negative
2494,negative
2495,negative
2496,negative
2497,negative
2498,neutral
2499,negative
2500,negative
2501,negative
2502,negative
2503,positive
2504,negative
2505,negative
2506,negative
2507,negative
2508,negative
2509,neutral
2510,negative
2511,negative
2512,neutral
2513,neutral
2514,neutral
2515,positive
2516,negative
2517,negative
2518,negative
2519,negative
2520,negative
2521,negative
2522,neutral
2523,negative
2524,neutral
2525,neutral
2526,negative
2527,positive
2528,negative
2529,negative
2530,negative
2531,negative
2532,positive
2533,positive
2534,negative
2535,neutral
2536,negative
2537,neutral
2538,positive
2539,neutral
2540,negative
2541,neutral
2542,negative
2543,negative
2544,neutral
2545,negative
2546,negative
2547,negative
2548,negative
2549,negative
2550,negative
2551,negative
2552,negative
2553,negative
2554,negative
2555,negative
2556,neutral
2557,negative
2558,negative
2559,negative
2560,negative
2561,negative
2562,negative
2563,negative
2564,negative
2565,positive
2566,positive
2567,negative
2568,negative
2569,negative
2570,negative
2571,negative
2572,negative
2573,negative
2574,negative
2575,negative
2576,neutral
2577,neutral
2578,negative
2579,negative
2580,negative
2581,positive
2582,negative
2583,negative
2584,negative
2585,positive
2586,neutral
2587,negative
2588,neutral
2589,negative
2590,negative
2591,negative
2592,positive
2593,positive
2594,negative
2595,negative
2596,negative
2597,negative
2598,negative
2599,negative
2600,negative
2601,negative
2602,negative
2603,positive
2604,negative
2605,negative
2606,negative
2607,negative
2608,positive
2609,positive
2610,negative
2611,negative
2612,negative
2613,negative
2614,negative
2615,negative
2616,negative
2617,negative
2618,positive
2619,negative
2620,negative
2621,negative
2622,negative
2623,negative
2624,negative
2625,neutral
2626,negative
2627,negative
2628,negative
2629,negative
2630,neutral
2631,negative
2632,negative
2633,negative
2634,negative
2635,negative
2636,negative
2637,negative
2638,negative
2639,negative
2640,negative
2641,negative
2642,negative
2643,positive
2644,positive
2645,negative
2646,neutral
2647,negative
2648,positive
2649,negative
2650,positive
2651,negative
2652,negative
2653,negative
2654,negative
2655,negative
2656,negative
2657,negative
2658,negative
2659,positive
2660,negative
2661,neutral
2662,neutral
2663,negative
2664,neutral
2665,negative
2666,negative
2667,neutral
2668,negative
2669,neutral
2670,negative
2671,negative
2672,negative
2673,negative
2674,neutral
2675,negative
2676,negative
2677,neutral
2678,negative
2679,negative
2680,negative
2681,negative
2682,negative
2683,negative
2684,negative
2685,negative
2686,negative
2687,negative
2688,negative
2689,negative
2690,negative
2691,negative
2692,negative
2693,negative
2694,negative
2695,negative
2696,negative
2697,negative
2698,negative
2699,negative
2700,negative
2701,negative
2702,negative
2703,negative
2704,neutral
2705,negative
2706,negative
2707,neutral
2708,negative
2709,negative
2710,negative
2711,negative
2712,negative
2713,negative
2714,negative
2715,negative
2716,negative
2717,negative
2718,neutral
2719,neutral
2720,positive
2721,negative
2722,negative
2723,negative
2724,negative
2725,negative
2726,negative
2727,negative
2728,negative
2729,negative
2730,negative
2731,positive
2732,negative
2733,negative
2734,negative
2735,negative
2736,negative
2737,negative
2738,negative
2739,negative
2740,negative
2741,negative
2742,negative
2743,negative
2744,negative
